Processo;Sei!;Analise Tecnica;Ano;Via;UF;Regiao;Data Finalizacao;Descricao;Qtde Inicial;unid.;Preco Unitario Inicial;Mes Base Inicial;Ano Base Inicial;Preco Total Inicial;Qtde Final;unid.;Preco Unitario Final;Mes Base Final;Ano Base Final;Preco Total Final;Modalidade;Tipo de Indice;Indice Mês base Inicial;Indice Mês base Final;Indice Mês base Economia;Economia;Peso;Variacao Incial x Final;Variacao Ponderada
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Remoção e realocação de poste com comprimento igual ou menor que 12 m (com reaproveitamento do poste). ;11;und;1090,8;Novembro;2017;13942,20904;11;und;415,5;Novembro;2017;5310,769947;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-8631,439098;0,000131135;-0,619086909;-8,12E-05
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Fornecimento e colocação de barreira de siltagem. ;632;m;12,74;Novembro;2017;9355,786055;632;m;12,92;Novembro;2017;9487,971415;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;132,1853603;8,80E-05;0,014128728;1,24E-06
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Aquisição carga manobra e descarga de material de jazida comercial. ;3308,21;m³;57,12;Novembro;2017;219571,0327;3308,21;m³;52,02;Novembro;2017;199966,4762;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-19604,55649;0,002065192;-0,089285714;-0,000184392
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Taxa para recebimento de resíduos sólidos em bota fora comercial. ;5767,97;t;58,7;Novembro;2017;393418,583;5767,97;t;58,7;Novembro;2017;393418,583;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;0,003700329;0;0
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Barra de transferência Ø 32 mm – aço CA-25 – fornecimento dobragem e colocação. ;3462;kg;10,29;Novembro;2017;41393,8874;3462;kg;6,83;Novembro;2017;27475,24305;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-13918,64435;0,000389333;-0,336248785;-0,000130913
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Fornecimento e implantação de placa de regulamentação em aço D=050m - pelicula retrorrefletiva tipo I e SI;10;und;189,08;Novembro;2017;2197,04711;10;und;189,1;Novembro;2017;2197,279503;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0,23239339;2,07E-05;0,000105775;2,19E-09
50607.001888/2018-84;4633994;AT n. 42/2018;2018;BR-101;RJ;Sudeste;10/12/2019;Fornecimento e implantação de suporte metálico galvanizado para placa de regulamentação;10;und;220,44;Novembro;2017;2561,439945;10;und;219,26;Novembro;2017;2547,728735;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-13,71121001;2,41E-05;-0,005352931;-1,29E-07
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Guarda corpo metálico com tela artística. ;1528;m;359,54;Novembro;2017;638358,0567;1528;m;323,39;Novembro;2017;574174,2559;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-64183,80083;0,006004126;-0,100545141;-0,000603686
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Remoção e realocação de poste com comprimento igual ou menor que 12 m (com reaproveitamento do poste). ;5;und;1185,77;Novembro;2017;6889,127754;5;und;408,59;Novembro;2017;2373,840381;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-4515,287372;6,48E-05;-0,655422215;-4,25E-05
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Fornecimento e colocação de barreira de siltagem. ;434;m;13,47;Novembro;2017;6792,835553;434;m;10,08;Novembro;2017;5083,280057;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-1709,555495;6,39E-05;-0,251670379;-1,61E-05
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Aquisição carga manobra e descarga de material de jazida comercial. ;2369,38;m³;84,08;Novembro;2017;231484,1165;2369,38;m³;75,45;Novembro;2017;207724,5075;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-23759,60901;0,002177242;-0,102640343;-0,000223473
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Taxa para recebimento de resíduos sólidos em bota fora comercial. ;3827,08;t;58,7;Novembro;2017;261035,406;3827,08;t;58,7;Novembro;2017;261035,406;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;0;0,002455189;0;0
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Barra de transferência Ø 32 mm – aço CA-25 – fornecimento dobragem e colocação. ;1082;kg;10,3;Novembro;2017;12949,65688;1082;kg;6,83;Novembro;2017;8587,005481;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-4362,651394;0,000121799;-0,336893204;-4,10E-05
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Fornecimento e implantação de placa de regulamentação em aço D-050 m - pelicula retrorreflexiva tipo I e SI;6;und;189,13;Novembro;2017;1318,576856;6;und;147,63;Novembro;2017;1029,247085;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-289,3297706;1,24E-05;-0,219425792;-2,72E-06
50607.001702/2018-97;4645090;AT n. 38/2019;2019;BR-101;RJ;Sudeste;11/12/2019;Fornecimento e implantação de suporte metálico galvanizado para placa de regulmanentação - D=050 m;6;und;221,14;Novembro;2017;1541,744228;6;und;219,26;Novembro;2017;1528,637241;RODOVIÁRIO;IGP-DI;646,422;646,422;751,121;-13,1069872;1,45E-05;-0,008501402;-1,23E-07
50009.001477/2019-19;4795386;AT n. 01/2020;2020;BR-210;RR;Norte;09/01/2020;Recomposição de revestimento primário. ;55860;m³;15,18;Novembro;2016;982045,879;55860;m³;16,23;Novembro;2016;1049973,954;RODOVIÁRIO;IGP-DI;648,561;648,561;751,121;67928,07463;0,26348003;0,06916996;0,018224903
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Subestação aérea de 30 kVA instalada em poste de concreto duplo T 12/300 inclusive transformador de 30 kVA com para-raios chave seccionadora 100 A – 15 kV com elos fusíveis de 2H inclusive cabeamento caixa de proteção para medidor e 6 hastes de aterramento. ;13;unid.;28614,79;Janeiro;2019;400346,7515;13;unid.;20060,35;Janeiro;2019;280662,4112;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-119684,3403;0,027995836;-0,298951696;-0,008369403
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Subestação aérea de 45 kVA instalada em poste de concreto duplo T 12/600 inclusive transformador de 30 kVA com para-raios chave seccionadora 100 A – 15 kV com elos fusíveis de 2H inclusive cabeamento caixa de proteção para medidor e 6 hastes de aterramento.;1;unid.;31810,39;Janeiro;2019;34235,08316;1;unid.;21347,36;Janeiro;2019;22974,5264;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-11260,55676;0,002394024;-0,328918633;-0,000787439
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Remanejamento de subestação aérea de 30 kVA instalada em poste de concreto duplo T 12/600 inclusive seus acessórios. ;5;unid.;5979,81;Janeiro;2019;32178,05451;5;unid.;5804,77;Janeiro;2019;31236,14387;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-941,9106394;0,002250178;-0,029271833;-6,59E-05
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Poste concreto seção circular resistividade cônica 17/400 inclusive escavação transporte – fornecimento e colocação. ;423;unid.;2229,09;Janeiro;2019;1014776,414;423;unid.;1659,89;Janeiro;2019;755652,406;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-259124,0079;0,07096227;-0,255350838;-0,018120275
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Poste concreto seção circular resistividade cônica 14/400 inclusive escavação transporte – fornecimento e colocação.;601;unid.;1900,48;Janeiro;2019;1229249,865;601;unid.;1379,5;Janeiro;2019;892274,6823;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-336975,1823;0,085960177;-0,274130746;-0,023564328
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Base de concreto simples FCK de 15 Mpa dimensões 40 x 40 x 80 cm. ;20;unid.;180,88;Janeiro;2019;3893,34544;20;unid.;178,65;Janeiro;2019;3845,345881;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-47,99955955;0,000272258;-0,012328616;-3,36E-06
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Braço triplo 25 m diâmetro de 60 cm para fixação das luminárias em alumínio conforme modelo projetado fabricação Almec Metalsinter ou EDESA (BR iluminação).;5;unid.;1118,95;Janeiro;2019;6021,200354;5;unid.;878,79;Janeiro;2019;4728,871406;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-1292,328949;0,000421056;-0,214629787;-9,04E-05
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Braço duplo 25 m diâmetro de 60 cm para fixação das luminárias em alumínio conforme modelo projetado fabricação Almec Metalsinter ou EDESA (BR iluminação). ;1095;unid.;898,38;Janeiro;2019;1058708,958;1095;unid.;778,08;Janeiro;2019;916939,6757;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-141769,2821;0,074034427;-0,133907701;-0,00991378
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Estrutura final de rede de iluminação pública tipo SI 3. ;171;unid.;644,59;Janeiro;2019;118626,5958;171;unid.;644,18;Janeiro;2019;118551,1418;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-75,45401615;0,008295436;-0,000636063;-5,28E-06
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Estrutura intermediária passante usada em tangências e ângulos para iluminação pública tipo SI 1. ;794;unid.;260,72;Janeiro;2019;222790,7951;794;unid.;260,56;Janeiro;2019;222654,0717;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-136,7234091;0,015579531;-0,000613685;-9,56E-06
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Estrutura de ancoragem dupla para iluminação pública tipo SI 4.;413;unid.;353,79;Janeiro;2019;157252,6593;413;unid.;406,12;Janeiro;2019;180512,3095;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;23259,65024;0,010996517;0,147912604;0,001626523
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Estrutura intermediária passante usada derivações para iluminação pública tipo S2-S1.;59;unid.;610,34;Janeiro;2019;38754,86591;59;unid.;609,99;Janeiro;2019;38732,64189;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-22,22401132;0,002710088;-0,000573451;-1,55E-06
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Estrutura passante usada em derivações para iluminação pública tipo SI 4 – para poste duplo T.;8;unid.;594,69;Janeiro;2019;5120,153914;8;unid.;646,84;Janeiro;2019;5569,154278;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;449,0003642;0,000358047;0,087692747;3,14E-05
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Cabo multiplexado para rede de distribuição de 3 x 35 + 1 x 35 mm2.;51000;m;25,01;Janeiro;2019;1372733,592;51000;m;23,13;Janeiro;2019;1269545,301;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-103188,2908;0,095993847;-0,075169932;-0,007215851
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Projetor de LED 142 W com temperatura de cor 5.000 k eficiência de 124 lm/W e fluxo luminoso da luminária 17.540 lm proteção contra surto de tensão.;12;unid.;1017,54;Janeiro;2019;13141,20318;12;unid.;942,43;Janeiro;2019;12171,18159;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-970,0215922;0,000918951;-0,07381528;-6,78E-05
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Abraçadeira em PVC tipo D de 2”.;500;unid.;9,61;Janeiro;2019;5171,252996;500;unid.;6,28;Janeiro;2019;3379,341188;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-1791,911808;0,00036162;-0,346514048;-0,000125307
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Cabo de alumínio bitola de 100 mm2.;150;m;12,16;Janeiro;2019;1963,031314;150;m;11,47;Janeiro;2019;1851,642202;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-111,3891124;0,000137273;-0,056743421;-7,79E-06
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Retirada e instalação de poste seção circular em concreto RC 17/400 inclusive pintura na cor concreto escavação e reaterro.;334;unid.;1631,15;Janeiro;2019;586330,8709;334;unid.;516,83;Janeiro;2019;185778,9805;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-400551,8904;0,041001514;-0,683149925;-0,028010181
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Retirada e instalação de poste metálico curvo simples inclusive material para sua fixação.;24;unid.;1288,29;Janeiro;2019;33275,70542;24;unid.;1350,31;Janeiro;2019;34877,64229;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;1601,93687;0,002326936;0,048141335;0,000112022
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Retirada de poste de iluminação pública inclusive luminária estrutura e condutores.;466;unid.;461,35;Janeiro;2019;231376,2805;466;unid.;450,4;Janeiro;2019;225884,6358;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-5491,644675;0,016179905;-0,023734692;-0,000384025
50613.001966/2019-42;4823513;AT n. 60/2019;2019;BR-230;PB;Nordeste;14/01/2020;Retirada de luminária e suportes de fixação em poste de h= 150 m.;334;unid.;49,31;Janeiro;2019;17724,90283;334;unid.;49,3;Janeiro;2019;17721,30824;RODOVIÁRIO;IGP-DI;697,923;697,923;751,121;-3,59458585;0,001239484;-0,000202799;-2,51E-07
50614.000892/2016-74;4830700;AT n. 39/2019;2019;BR-304;RN;Nordeste;15/01/2020;Execução de escoramento com treliça metálica para passarelas. ;2341,6;m²;1306,441;Julho;2018;3331372,716;2341,6;m²;517,06;Março;2015;1610821,053;RODOVIÁRIO;IGP-DI;689,746;564,568;751,121;-1720551,663;0,352883366;-0,516469278;-0,182253418
50600.016227/2019-02;3491978;AT n. 30/2020;2020;Barcelos;AM;Norte;04/02/2020;Defensa de pneu a cada 30 metros no cais flutuante principal;35;unid.;4479,91;Julho;2018;170748,9522;35;unid.;1003,44;Julho;2018;38245,48452;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-132503,4677;0,005176919;-0,776013357;-0,004017358
50600.016227/2019-02;3491978;AT n. 30/2020;2020;Barcelos;AM;Norte;04/02/2020;Anodo de sacrifício de zinco 20 kg cada peça – Fornecimento e Instalação;1;unid.;1001,03;Julho;2018;1090,103683;1;unid.;933,09;Julho;2018;1016,118243;RODOVIÁRIO;IGP-DI;689,746;689,746;751,121;-73,98543919;3,31E-05;-0,067870094;-2,24E-06
